-8,-6,-5
0,-6,-5
8,-6,-5
-8,2,-5
0,2,-5
8,2,-5
-8,10,-5
0,10,-5
8,10,-5
-8,-6,3
0,-6,3
8,-6,3
-8,2,3
0,2,3
8,2,3
-8,10,3
0,10,3
8,10,3
-8,-6,11
0,-6,11
8,-6,11
-8,2,11
0,2,11
8,2,11
-8,10,11
0,10,11
8,10,11
-8,-2,-7
0,-2,-7
8,-2,-7
-8,6,-7
0,6,-7
8,6,-7
-8,14,-7
0,14,-7
8,14,-7
-8,-2,1
0,-2,1
8,-2,1
-8,6,1
0,6,1
8,6,1
-8,14,1
0,14,1
8,14,1
-8,-2,9
0,-2,9
8,-2,9
-8,6,9
0,6,9
8,6,9
-8,14,9
0,14,9
8,14,9
-7,-8,-2
1,-8,-2
9,-8,-2
-7,0,-2
1,0,-2
9,0,-2
-7,8,-2
1,8,-2
9,8,-2
-7,-8,6
1,-8,6
9,-8,6
-7,0,6
1,0,6
9,0,6
-7,8,6
1,8,6
9,8,6
-7,-8,14
1,-8,14
9,-8,14
-7,0,14
1,0,14
9,0,14
-7,8,14
1,8,14
9,8,14
-6,-5,-8
2,-5,-8
10,-5,-8
-6,3,-8
2,3,-8
10,3,-8
-6,11,-8
2,11,-8
10,11,-8
-6,-5,0
2,-5,0
10,-5,0
-6,3,0
2,3,0
10,3,0
-6,11,0
2,11,0
10,11,0
-6,-5,8
2,-5,8
10,-5,8
-6,3,8
2,3,8
10,3,8
-6,11,8
2,11,8
10,11,8
-6,-3,-4
2,-3,-4
10,-3,-4
-6,5,-4
2,5,-4
10,5,-4
-6,13,-4
2,13,-4
10,13,-4
-6,-3,4
2,-3,4
10,-3,4
-6,5,4
2,5,4
10,5,4
-6,13,4
2,13,4
10,13,4
-6,-3,12
2,-3,12
10,-3,12
-6,5,12
2,5,12
10,5,12
-6,13,12
2,13,12
10,13,12
-5,-8,-6
3,-8,-6
11,-8,-6
-5,0,-6
3,0,-6
11,0,-6
-5,8,-6
3,8,-6
11,8,-6
-5,-8,2
3,-8,2
11,-8,2
-5,0,2
3,0,2
11,0,2
-5,8,2
3,8,2
11,8,2
-5,-8,10
3,-8,10
11,-8,10
-5,0,10
3,0,10
11,0,10
-5,8,10
3,8,10
11,8,10
-4,-6,-3
4,-6,-3
12,-6,-3
-4,2,-3
4,2,-3
12,2,-3
-4,10,-3
4,10,-3
12,10,-3
-4,-6,5
4,-6,5
12,-6,5
-4,2,5
4,2,5
12,2,5
-4,10,5
4,10,5
12,10,5
-4,-6,13
4,-6,13
12,-6,13
-4,2,13
4,2,13
12,2,13
-4,10,13
4,10,13
12,10,13
-4,-2,-1
4,-2,-1
12,-2,-1
-4,6,-1
4,6,-1
12,6,-1
-4,14,-1
4,14,-1
12,14,-1
-4,-2,7
4,-2,7
12,-2,7
-4,6,7
4,6,7
12,6,7
-4,14,7
4,14,7
12,14,7
-4,-2,15
4,-2,15
12,-2,15
-4,6,15
4,6,15
12,6,15
-4,14,15
4,14,15
12,14,15
-3,-4,-6
5,-4,-6
13,-4,-6
-3,4,-6
5,4,-6
13,4,-6
-3,12,-6
5,12,-6
13,12,-6
-3,-4,2
5,-4,2
13,-4,2
-3,4,2
5,4,2
13,4,2
-3,12,2
5,12,2
13,12,2
-3,-4,10
5,-4,10
13,-4,10
-3,4,10
5,4,10
13,4,10
-3,12,10
5,12,10
13,12,10
-2,-7,-8
6,-7,-8
14,-7,-8
-2,1,-8
6,1,-8
14,1,-8
-2,9,-8
6,9,-8
14,9,-8
-2,-7,0
6,-7,0
14,-7,0
-2,1,0
6,1,0
14,1,0
-2,9,0
6,9,0
14,9,0
-2,-7,8
6,-7,8
14,-7,8
-2,1,8
6,1,8
14,1,8
-2,9,8
6,9,8
14,9,8
-2,-1,-4
6,-1,-4
14,-1,-4
-2,7,-4
6,7,-4
14,7,-4
-2,15,-4
6,15,-4
14,15,-4
-2,-1,4
6,-1,4
14,-1,4
-2,7,4
6,7,4
14,7,4
-2,15,4
6,15,4
14,15,4
-2,-1,12
6,-1,12
14,-1,12
-2,7,12
6,7,12
14,7,12
-2,15,12
6,15,12
14,15,12
-1,-4,-2
7,-4,-2
15,-4,-2
-1,4,-2
7,4,-2
15,4,-2
-1,12,-2
7,12,-2
15,12,-2
-1,-4,6
7,-4,6
15,-4,6
-1,4,6
7,4,6
15,4,6
-1,12,6
7,12,6
15,12,6
-1,-4,14
7,-4,14
15,-4,14
-1,4,14
7,4,14
15,4,14
-1,12,14
7,12,14
15,12,14
